arxiv_id,titre,auteurs,annee,categories,url,pdf,doi,resume,score,axes,ia,requetes
2503.05804v1,Holistically Evaluating the Environmental Impact of Creating Language Models,Jacob Morrison; Clara Na; Jared Fernandez; Tim Dettmers; Emma Strubell; Jesse Dodge,2025,"cs.CY, cs.AI, cs.LG, cs.CY",https://arxiv.org/abs/2503.05804,,,"As the performance of artificial intelligence systems has dramatically increased, so too has the environmental impact of creating these systems. While many model developers release estimates of the power consumption and carbon emissions from the final training runs for their latest models, there is comparatively little transparency into the impact of model development, hardware manufacturing, and total water usage throughout. In this work, we estimate the real-world environmental impact of developing a series of language models, ranging from 20 million to 13 billion active parameters, trained on up to 5.6 trillion tokens each. When accounting for hardware manufacturing, model development, and our final training runs, we find that our series of models released 493 metric tons of carbon emis",7,"acv, carbone, eau, energie, methodo",True,"all:""carbon emissions"" AND (all:training OR a | all:""environmental impact"" AND (all:""artifici"
2508.15734v1,Measuring the environmental impact of delivering AI at Google Scale,Cooper Elsworth; Keguo Huang; David Patterson; Ian Schneider; Robert Sedivy; Savannah Goodman; Ben Townsend; Parthasarathy Ranganathan,2025,"cs.AI, cs.AI",https://arxiv.org/abs/2508.15734,,,"The transformative power of AI is undeniable - but as user adoption accelerates, so does the need to understand and mitigate the environmental impact of AI serving. However, no studies have measured AI serving environmental metrics in a production environment. This paper addresses this gap by proposing and executing a comprehensive methodology for measuring the energy usage, carbon emissions, and water consumption of AI inference workloads in a large-scale, AI production environment. Our approach accounts for the full stack of AI serving infrastructure - including active AI accelerator power, host system energy, idle machine capacity, and data center energy overhead. Through detailed instrumentation of Google's AI infrastructure for serving the Gemini AI assistant, we find the median Gemin",7,"acv, carbone, eau, energie, methodo",True,"all:""carbon emissions"" AND (all:training OR a | all:""environmental impact"" AND (all:""artifici"
2511.07090v4,"Green AI: A systematic review and meta-analysis of its definitions, lifecycle models, hardware and measurement attempts",Marcel Rojahn; Marcus Grum,2025,"cs.AI, cs.AI",https://arxiv.org/abs/2511.07090,,10.1016/j.infsof.2026.108186,"Across the Artificial Intelligence (AI) lifecycle - from hardware to development, deployment, and reuse - burdens span energy, carbon, water, and embodied impacts. Cloud provider tools improve transparency but remain heterogeneous and often omit water and value chain effects, limiting comparability and reproducibility. Addressing these multi dimensional burdens requires a lifecycle approach linking phase explicit mapping with system levers (hardware, placement, energy mix, cooling, scheduling) and calibrated measurement across facility, system, device, and workload levels. This article (i) establishes a unified, operational definition of Green AI distinct from Sustainable AI; (ii) formalizes a five phase lifecycle mapped to Life Cycle Assessment (LCA) stages, making energy, carbon, water, ",7,"acv, carbone, eau, energie, methodo",True,"all:""green AI"" OR all:""sustainable AI"" OR all | all:""life cycle assessment"" AND (all:computin"
2601.06063v1,The Environmental Impact of AI Servers and Sustainable Solutions,Aadi Patel; Nikhil Mahalingam; Rusheen Patel,2025,"cs.CY, cs.AI, cs.CY",https://arxiv.org/abs/2601.06063,,,"The rapid expansion of artificial intelligence has significantly increased the electricity, water, and carbon demands of modern data centers, raising sustainability concerns. This study evaluates the environmental footprint of AI server operations and examines feasible technological and infrastructural strategies to mitigate these impacts. Using a literature-based methodology supported by quantitative projections and case-study analysis, we assessed trends in global electricity consumption, cooling-related water use, and carbon emissions. Projections indicate that global data center electricity demand may increase from approximately 415 TWh in 2024 to nearly 945 TWh by 2030, with AI workloads accounting for a disproportionate share of this growth. In the United States alone, AI servers are",7,"acv, carbone, eau, energie, methodo",True,"all:""environmental impact"" AND (all:""artifici | all:""green AI"" OR all:""sustainable AI"" OR all"
2511.06694v1,ML-EcoLyzer: Quantifying the Environmental Cost of Machine Learning Inference Across Frameworks and Hardware,Jose Marie Antonio Minoza; Rex Gregor Laylo; Christian F Villarin; Sebastian C. Ibanez,2025,"cs.LG, cs.AI, cs.CV, cs.HC, cs.SE, cs.LG",https://arxiv.org/abs/2511.06694,,,"Machine learning inference occurs at a massive scale, yet its environmental impact remains poorly quantified, especially on low-resource hardware. We present ML-EcoLyzer, a cross-framework tool for measuring the carbon, energy, thermal, and water costs of inference across CPUs, consumer GPUs, and datacenter accelerators. The tool supports both classical and modern models, applying adaptive monitoring and hardware-aware evaluation. We introduce the Environmental Sustainability Score (ESS), which quantifies the number of effective parameters served per gram of CO$_2$ emitted. Our evaluation covers over 1,900 inference configurations, spanning diverse model architectures, task modalities (text, vision, audio, tabular), hardware types, and precision levels. These rigorous and reliable measurem",7,"acv, carbone, eau, energie, methodo",True,"all:""datacenter"" AND (all:""energy"" OR all:""ca | all:""environmental impact"" AND (all:""artifici"
2502.11086v1,Data Ecofeminism,Ana Valdivia,2025,"cs.CY, cs.CY",https://arxiv.org/abs/2502.11086,,,"Generative Artificial Intelligence (GenAI) is driving significant environmental impacts. The rapid development and deployment of increasingly larger algorithmic models capable of analysing vast amounts of data are contributing to rising carbon emissions, water withdrawal, and waste generation. Generative models often consume substantially more energy than traditional models, with major tech firms increasingly turning to nuclear power to sustain these systems -- an approach that could have profound environmental consequences. This paper introduces seven data ecofeminist principles delineating a pathway for developing technological alternatives of eco-societal transformations within the AI research context. Rooted in data feminism and ecofeminist frameworks, which interrogate about the histo",7,"acv, carbone, eau, energie, methodo",True,"all:""environmental impact"" AND (all:""artifici"
2506.03367v1,The Cloud Next Door: Investigating the Environmental and Socioeconomic Strain of Datacenters on Local Communities,Wacuka Ngata; Noman Bashir; Michelle Westerlaken; Laurent Liote; Yasra Chandio; Elsa Olivetti,2025,"cs.DC, cs.CY, cs.ET, cs.DC",https://arxiv.org/abs/2506.03367,,10.1145/3715335.3736324,"Datacenters have become the backbone of modern digital infrastructure, powering the rapid rise of artificial intelligence and promising economic growth and technological progress. However, this expansion has brought growing tensions in the local communities where datacenters are already situated or being proposed. While the mainstream discourse often focuses on energy usage and carbon footprint of the computing sector at a global scale, the local socio-environmental consequences -- such as health impacts, water usage, noise pollution, infrastructural strain, and economic burden -- remain largely underexplored and poorly addressed. In this work, we surface these community-level consequences through a mixed-methods study that combines quantitative data with qualitative insights. Focusing on ",7,"acv, carbone, eau, energie, methodo",True,"all:""datacenter"" AND (all:""energy"" OR all:""ca"
2308.13086v1,"SHIELD: Sustainable Hybrid Evolutionary Learning Framework for Carbon, Wastewater, and Energy-Aware Data Center Management",Sirui Qi; Dejan Milojicic; Cullen Bash; Sudeep Pasricha,2023,"cs.DC, cs.LG, cs.NE, cs.DC",https://arxiv.org/abs/2308.13086,,,"Today's cloud data centers are often distributed geographically to provide robust data services. But these geo-distributed data centers (GDDCs) have a significant associated environmental impact due to their increasing carbon emissions and water usage, which needs to be curtailed. Moreover, the energy costs of operating these data centers continue to rise. This paper proposes a novel framework to co-optimize carbon emissions, water footprint, and energy costs of GDDCs, using a hybrid workload management framework called SHIELD that integrates machine learning guided local search with a decomposition-based evolutionary algorithm. Our framework considers geographical factors and time-based differences in power generation/use, costs, and environmental impacts to intelligently manage workload ",7,"acv, carbone, eau, energie, methodo",True,"all:""carbon footprint"" AND all:""machine learn | all:""environmental impact"" AND (all:""artifici | all:""water footprint"" AND (all:AI OR all:data"
2304.03271v5,"Making AI Less ""Thirsty"": Uncovering and Addressing the Secret Water Footprint of AI Models",Pengfei Li; Jianyi Yang; Mohammad A. Islam; Shaolei Ren,2023,"cs.LG, cs.AI, cs.LG",https://arxiv.org/abs/2304.03271,,,"The growing carbon footprint of artificial intelligence (AI) has been undergoing public scrutiny. Nonetheless, the equally important water (withdrawal and consumption) footprint of AI has largely remained under the radar. For example, training the GPT-3 language model in Microsoft's state-of-the-art U.S. data centers can directly evaporate 700,000 liters of clean freshwater, but such information has been kept a secret. More critically, the global AI demand is projected to account for 4.2-6.6 billion cubic meters of water withdrawal in 2027, which is more than the total annual water withdrawal of 4-6 Denmark or half of the United Kingdom. This is concerning, as freshwater scarcity has become one of the most pressing challenges. To respond to the global water challenges, AI can, and also mus",7,"acv, carbone, eau, energie, methodo",True,"all:""carbon footprint"" AND (all:""language mod | all:""carbon footprint"" AND all:""machine learn | all:""green AI"" OR all:""sustainable AI"" OR all | all:""water footprint"" AND (all:AI OR all:data"
2306.00292v4,Sustainable AI Regulation,Philipp Hacker,2023,"cs.CY, cs.CY",https://arxiv.org/abs/2306.00292,,,"Current proposals for AI regulation, in the EU and beyond, aim to spur AI that is trustworthy (e.g., AI Act) and accountable (e.g., AI Liability) What is missing, however, is a robust regulatory discourse and roadmap to make AI, and technology more broadly, environmentally sustainable. This paper aims to take first steps to fill this gap. The ICT sector contributes up to 3.9 percent of global greenhouse gas (GHG) emissions-more than global air travel at 2.5 percent. The carbon footprint and water consumption of AI, especially large-scale generative models like GPT-4, raise significant sustainability concerns. The paper is the first to assess how current and proposed technology regulations, including EU environmental law, the General Data Protection Regulation (GDPR), and the AI Act, could ",7,"acv, carbone, eau, energie, methodo",True,"all:""green AI"" OR all:""sustainable AI"" OR all"
2307.05494v2,Towards Environmentally Equitable AI via Geographical Load Balancing,Pengfei Li; Jianyi Yang; Adam Wierman; Shaolei Ren,2023,"cs.AI, cs.CY, cs.AI",https://arxiv.org/abs/2307.05494,,,"Fueled by the soaring popularity of large language and foundation models, the accelerated growth of artificial intelligence (AI) models' enormous environmental footprint has come under increased scrutiny. While many approaches have been proposed to make AI more energy-efficient and environmentally friendly, environmental inequity -- the fact that AI's environmental footprint can be disproportionately higher in certain regions than in others -- has emerged, raising social-ecological justice concerns. This paper takes a first step toward addressing AI's environmental inequity by balancing its regional negative environmental impact. Concretely, we focus on the carbon and water footprints of AI model inference and propose equity-aware geographical load balancing (GLB) to explicitly address AI'",7,"acv, carbone, eau, energie, methodo",True,"all:""environmental impact"" AND (all:""artifici | all:""water footprint"" AND (all:AI OR all:data"
2012.09508v2,Towards Optimal District Heating Temperature Control in China with Deep Reinforcement Learning,Adrien Le-Coz; Tahar Nabil; Francois Courtot,2020,"eess.SY, cs.AI, cs.LG, eess.SY",https://arxiv.org/abs/2012.09508,,,"Achieving efficiency gains in Chinese district heating networks, thereby reducing their carbon footprint, requires new optimal control methods going beyond current industry tools. Focusing on the secondary network, we propose a data-driven deep reinforcement learning (DRL) approach to address this task. We build a recurrent neural network, trained on simulated data, to predict the indoor temperatures. This model is then used to train two DRL agents, with or without expert guidance, for the optimal control of the supply water temperature. Our tests in a multi-apartment setting show that both agents can ensure a higher thermal comfort and at the same time a smaller energy cost, compared to an optimized baseline strategy.",7,"acv, carbone, eau, energie, methodo",True,"all:""carbon footprint"" AND all:""machine learn"
2605.05615v2,LLMSpace: Carbon Footprint Modeling for Large Language Model Inference on LEO Satellites,Lei Jiang; Adrian Ildefonso; Daniel Loveless; Fan Chen,2026,"cs.LG, cs.CY, cs.LG",https://arxiv.org/abs/2605.05615,,,"Large language models (LLMs) impose rapidly growing energy demands, creating an emerging energy and carbon crisis driven by large-scale inference. Solar-powered, AI-enabled low Earth orbit (LEO) satellites have been proposed to mitigate terrestrial electricity consumption, but their lifecycle carbon footprint remains poorly understood due to launch emissions, satellite manufacturing, and radiation-hardened hardware requirements. This paper presents \textit{LLMSpace}, the first carbon modeling framework for LLM inference on AI-enabled LEO satellites. LLMSpace jointly models operational and embodied carbon, peripheral subsystems, radiation-hardened accelerators and memories, and LLM-specific workload characteristics such as prefill-decode behavior and token generation. Using realistic satell",6,"acv, carbone, energie, methodo",True,"all:""carbon footprint"" AND (all:""language mod | all:""carbon footprint"" AND all:""machine learn | all:""embodied carbon"" AND (all:hardware OR al"
2608.09998v1,Towards Sustainable Artificial Intelligence: A Comprehensive Review and Comparative Analysis of Deep Learning Models' Carbon Footprint,Samar Garrab; Sarra Boughriou; Manel BenSassi,2026,"cs.AI, cs.CY, cs.LG, cs.SE, cs.AI",https://arxiv.org/abs/2608.09998,,10.1007/s10489-026-07208-y,"Artificial Intelligence (AI) and Machine Learning (ML) have become powerful tools for supporting and automating complex human tasks. Despite their benefits, growing attention has been directed toward their environmental implications, primarily due to their high energy demands and associated carbon emissions. This concern is particularly relevant in light of the increasing deployment of large-scale models, especially Deep Learning (DL) architectures, which provide advanced predictive capabilities but require substantial computational resources. This paper presents a systematic review of research on Green AI, Green DL, and optimization techniques aimed at reducing the environmental impact of AI models. In addition, we examine and compare several carbon measurement tools for estimating emissi",6,"acv, carbone, energie, methodo",True,"all:""carbon emissions"" AND (all:training OR a | all:""carbon footprint"" AND all:""machine learn | all:""environmental impact"" AND (all:""artifici | all:""green AI"" OR all:""sustainable AI"" OR all"
2609.00847v1,A Checklist to assess the energy and carbon impacts of ML/AI applications in Earth System Modeling,Filippo Dainelli; Amirpasha Mozaffari; Marina Castaño; Aina Gaya i Àvila; Lluís Palma Garcia; Alessio Melli; Oscar Dimdore Miles; Amanda Duarte,2026,"physics.ao-ph, cs.AI, cs.LG, physics.ao-ph",https://arxiv.org/abs/2609.00847,,,"As machine learning and artificial intelligence find their way into nearly every aspect of climate, weather, and Earth system modeling, it is worth pausing to consider what our design decisions imply for the science and for the computational resources we consume. A growing body of literature addresses the ethical and sustainable development of ML/AI, yet translating these principles into day-to-day research practice remains a challenge as most of best practices are dispersed across multiple studies and commentaries. Here, we distill these discussions into a practical checklist that ML/AI and Earth system science practitioners can use to assess and reduce the environmental footprint of their own applications, organised around the successive stages of the model development pipeline. We compl",6,"acv, carbone, energie, methodo",True,"all:""carbon footprint"" AND all:""machine learn | all:""green AI"" OR all:""sustainable AI"" OR all"
2608.17055v1,Wasted large language models: A life cycle thinking approach,Erik Johannes Husom; Maria Emine Nylund; Ophelia Prillard,2026,"cs.CY, cs.HC, cs.LG, cs.CY",https://arxiv.org/abs/2608.17055,,,"Large Language Models (LLMs) are machine learning (ML) models that have an increasingly large carbon footprint through their development and use. Efforts to increase the energy efficiency of these models have not translated into reduced consumption due to rebound effects such as Jevons Paradox - that increased efficiency drives increased use. There is therefore a need for additional measures to solve this problem. We suggest that one possible way forward is to use life cycle thinking, and view LLMs as products that can become waste. With this perspective, we investigate the potential of the waste hierarchy from the EU's Waste Framework Directive, which suggests five different measures for how to manage waste: prevention, reuse, recycling, recovery, and disposal. We examine how these measur",6,"acv, carbone, energie, methodo",True,"all:""carbon footprint"" AND (all:""language mod | all:""carbon footprint"" AND all:""machine learn | all:""energy efficiency"" AND all:""large langua | all:""environmental impact"" AND (all:""artifici"
2608.14242v1,Could Model Partitioning Make Federated Learning More Sustainable?,Tobias Frohlich; Tiffany Vlaar; Lauritz Thamsen,2026,"cs.DC, cs.DC",https://arxiv.org/abs/2608.14242,,,"As federated learning (FL) extends from distributed machine learning between low-power devices to cross-silo scenarios involving edge servers and data centres, its carbon footprint has become a growing concern. Addressing this, methods for sustainable FL align training with low-carbon energy availability or low grid demand and reduce the energy consumption of clients powered by high-carbon sources by decreasing the size of their models. We propose applying model partitioning, which can shift energy consumption by offloading parts of a model to another participant, in response to carbon- or grid-aware signals. Our preliminary findings show that for some partition points, model partitioning can reduce a participant's energy consumption by up to 76% without any significant time or energy cons",6,"acv, carbone, energie, methodo",True,"all:""carbon footprint"" AND all:""machine learn"
2602.08809v1,"Efficient Deep Learning for Biometrics: Overview, Challenges and Trends in Ear of Frugal AI",Karim Haroun; Aya Zitouni; Aicha Zenakhri; Meriem Amel Guessoum; Larbi Boubchir,2026,"cs.LG, cs.LG",https://arxiv.org/abs/2602.08809,,,"Recent advances in deep learning, whether on discriminative or generative tasks have been beneficial for various applications, among which security and defense. However, their increasing computational demands during training and deployment translates directly into high energy consumption. As a consequence, this induces a heavy carbon footprint which hinders their widespread use and scalability, but also a limitation when deployed on resource-constrained edge devices for real-time use. In this paper, we briefly survey efficient deep learning methods for biometric applications. Specifically, we tackle the challenges one might incur when training and deploying deep learning approaches, and provide a taxonomy of the various efficient deep learning families. Additionally, we discuss complementa",6,"acv, carbone, energie, methodo",True,"all:""carbon footprint"" AND all:""machine learn | all:""energy consumption"" AND (all:""deep learn | all:""green AI"" OR all:""sustainable AI"" OR all"
2603.17507v1,QuantFL: Sustainable Federated Learning for Edge IoT via Pre-Trained Model Quantisation,Charuka Herath; Yogachandran Rahulamathavan; Varuna De Silva; Sangarapillai Lambotharan,2026,"cs.LG, cs.AI, cs.LG",https://arxiv.org/abs/2603.17507,,,"Federated Learning (FL) enables privacy-preserving intelligence on Internet of Things (IoT) devices but incurs a significant carbon footprint due to the high energy cost of frequent uplink transmission. While pre-trained models are increasingly available on edge devices, their potential to reduce the energy overhead of fine-tuning remains underexplored. In this work, we propose QuantFL, a sustainable FL framework that leverages pre-trained initialisation to enable aggressive, computationally lightweight quantisation. We demonstrate that pre-training naturally concentrates update statistics, allowing us to use memory-efficient bucket quantisation without the energy-intensive overhead of complex error-feedback mechanisms. On MNIST and CIFAR-100, QuantFL reduces total communication by 40\% ($",6,"acv, carbone, energie, methodo",True,"all:""carbon footprint"" AND all:""machine learn"
2603.04194v1,Noise-aware Client Selection for carbon-efficient Federated Learning via Gradient Norm Thresholding,Patrick Wilhelm; Inese Yilmaz; Odej Kao,2026,"cs.LG, cs.AI, cs.LG",https://arxiv.org/abs/2603.04194,,,"Training large-scale Neural Networks requires substantial computational power and energy. Federated Learning enables distributed model training across geospatially distributed data centers, leveraging renewable energy sources to reduce the carbon footprint of AI training. Various client selection strategies have been developed to align the volatility of renewable energy with stable and fair model training in a federated system. However, due to the privacy-preserving nature of Federated Learning, the quality of data on client devices remains unknown, posing challenges for effective model training. In this paper, we introduce a modular approach on top to state-of-the-art client selection strategies for carbon-efficient Federated Learning. Our method enhances robustness by incorporating a noi",6,"acv, carbone, energie, methodo",True,"all:""carbon footprint"" AND all:""machine learn"
2608.08744v1,Can We Optimize the Performance-Carbon Emission Break-Even Point?: The Quest for Greener LLMs,Sourav Das; Tanmay Joshi; Kripabandhu Ghosh,2026,"cs.CL, cs.AI, cs.CE, cs.ET, cs.LG, cs.CL",https://arxiv.org/abs/2608.08744,,,"The carbon footprint of any deployed Large Language Model (LLM) accumulates during inference, where repeated use of the model substantially exceeds the one-time cost of fine-tuning. Yet most efficiency interventions target either pre-training scale or post-hoc compression. We ask whether folding a calibrated, differentiable energy surrogate into the fine-tuning objective can produce inference behavior that gains task accuracy at zero or near-zero carbon cost, a break-even configuration. We propose a joint loss mechanism with a per-model carbon-emission parameter, a linear surrogate over parameter norm, FLOP proxy, and a memory proxy, fit from on-hardware energy profiling. We fine-tune three architecturally distinct families: Gemma-2 2B, Llama-3.1 8B, and Qwen-2.5 14B, and evaluate inferenc",6,"acv, carbone, energie, methodo",True,"all:""carbon emissions"" AND (all:training OR a | all:""carbon footprint"" AND (all:""language mod | all:""carbon footprint"" AND all:""machine learn"
